propertyCode,thumbnail,externalReference,numPhotos,floor,price,priceInfo,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,parkingSpace,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,topPlus,highlight,neighborhood,newDevelopmentFinished
33406293,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/86/47/85/244295665.jpg,,26,1,298500.0,{'price': {'amount': 298500.0}},flat,sale,90.0,2,1,rua Comandante Fontoura da Costa,Lisboa,Lumiar,Carriche - Hospital das Forças Armadas,pt,38.7805773,-9.1656241,False,https://www.idealista.pt/imovel/33406293/,"Este apartamento completamente renovado destaca por su ubicación privilegiada y confort. La facilidad de acceso a infraestructuras esenciales como el aeropuerto internacional de Lisboa y el centro de la ciudad, junto con la proximidad a estaciones de metro y zonas de ocio, lo hace ideal para quien busca conveniencia y calidad de vida. La configuración interna fue cuidadosamente planeada para aprovechar al máximo la luz natural y el espacio disponible, ofreciendo una cocina semi-equipada y una sala amplia, ambas con acceso a una marquesina que une esos espacios y proporciona un área adicional de ocio y relajación. Las habitaciones también con marquesina común están proyectadas no solo para maximizar el almacenamiento con armarios empotrados, sino también para garantizar un ambiente confortable con ventanas de vidrio doble oscilobatiente. Las renovaciones efectuadas, incluyendo pavimento flotante en el hall, sala y habitaciones y mosaico en la cocina y baño, así como la actualización de las tuberías y del sistema eléctrico, reflejan el compromiso con la modernidad y seguridad. Adicionalmente, la presencia de un sistema de alarma y conectividad de fibra óptica son testimonios de la atención dada a la seguridad y a las necesidades tecnológicas contemporáneas, incluyendo el acceso al edificio por código y una robusta puerta blindada de acceso al apartamento. Complementado por una despensa para almacenamiento extra, este apartamento es una excelente opción para quien valora un espacio moderno y bien localizado.",False,good,False,False,,3317.0,{'typology': 'flat'},"{'subtitle': 'Lumiar, Lisboa', 'title': 'Piso en rua Comandante Fontoura da Costa'}",False,False,False,False,False,False,,,
33072037,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/3e/48/01/244323772.jpg,2226-2747,32,2,615000.0,{'price': {'amount': 615000.0}},flat,sale,156.0,5,3,rua de Sant'Ana à Lapa s/n,Lisboa,Estrela,Lapa,pt,38.7102548,-9.1615346,True,https://www.idealista.pt/imovel/33072037/,"Cabe señalar que algunas fotos y planos presentados son representativos de una potencial remodelación. Pídeme presupuesto.Excelente apartamento de 6 habitaciones ubicado en la prestigiosa zona Estrela/Lapa de Lisboa, en un edificio de finales de los años 70. El edificio está ubicado en una calle inclinada y el acceso al apartamento se realiza a través de dos ascensores. Es un departamento con buena luz natural y buenas áreas, cuenta con hall de entrada, cocina, sala, comedor, 4 habitaciones, 3 baños, pasillo y 2 balcones (al frente y atrás). Los dormitorios disponen de armarios empotrados y ninguno es suite. Listo para remodelar dada su antigüedad y se puede adaptar para la instalación de una familia que quiera vivir en una zona estimulante, en el centro de Lisboa, con transporte, servicios, escuelas y una variedad de restaurantes y edificios comerciales y una excelente proximidad al zona ribereña del río Tajo. La actual parroquia de Estrela en Lisboa es una pequeña parroquia perteneciente a esta hermosa ciudad, que posee un dinamismo y una diversidad cultural y religiosa verdaderamente ineludibles. Estrela reúne las antiguas parroquias de Lapa, Prazeres y Santos-o-Velho, desde la ribera del río hasta la zona de la Basílica. Fue precisamente la Basílica da Estrela la que dio nombre a la parroquia y también a todo su entorno, un convento construido en honor a Nossa Senhora da Estrela, en 1572, donde hoy se construye el Principal Hospital Militar. Un estudio reciente señala esta zona de la ciudad como la segunda más exclusiva de Lisboa, elegida como lugar para vivir por familias de clase media alta con mayores ingresos. Esta zona siempre ha sido elegida por las familias más ilustres y adineradas, y aún quedan varios palacios que pertenecieron a estas familias. La zona de Estrela es una de las más céntricas de Lisboa, ubicada en el corazón de la ciudad. Es en esta zona donde se encuentran la Asamblea de la República y el Palacio de S. Bento, la residencia oficial del Primer Ministro. ¡Reserva ahora tu visita y ven a enamorarte de tu nuevo hogar! ¡Ven a verlo!Propiedad recaudada en exclusiva pero la compartimos con todas las agencias / profesionales inmobiliarios al 50%/50% - Licencia de uso n.º 163 de 1976 del Ayuntamiento de Lisboa - LEAD STAR - Mediación inmobiliaria, Lda - Licencia AMI: 17003 ELEGIR KellerWilliams® MEDIA: Elegir la Red de Asesores Inmobiliarios más eficiente del mercado, capaz de asesorarlo y apoyarlo en la compra de su propiedad. Cualquiera que sea el valor de su inversión, siempre tendrá la seguridad de que su nueva propiedad no es sólo parte de lo que hacemos, es todo lo que hacemos. VENTAJAS Provisión de un Consultor Dedicado durante todo el proceso de compra Búsqueda permanente de una propiedad adaptada a sus necesidades Seguimiento de la negociación Provisión de las soluciones financieras más ventajosas Apoyo en el proceso de financiación Apoyo en el nombramiento y ejecución de el CPCV (Contrato de Promesa de Compraventa) Apoyo en la programación y realización de la Escritura Pública de Compraventa.- Cuente con nuestra ayuda para aprobar su financiamiento.Contacte para más información. Características: Características exteriores: videoportero; Piso superior; Camine bajo; Características interiores - Hall de entrada; Armarios; Lavadero; Características Generales - Para remodelación; Despensa; Orientación - Norte; Sur; Otros equipos: servicio de Internet; Televisión por cable; Gas canalizado; Alarma de seguridad; Refrigerador; Microonda; Vistas - Vista de la ciudad; Otras características - Balcón; Ascensor;.",False,good,False,,,3942.0,{'typology': 'flat'},"{'subtitle': 'Estrela, Lisboa', 'title': ""Piso en rua de Sant'Ana à Lapa s/n""}",True,False,False,False,False,False,,,
33405428,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/c2/0d/76/244267742.jpg,,26,bj,365000.0,{'price': {'amount': 365000.0}},flat,sale,72.0,1,1,campo dos Mártires da Pátria,Lisboa,Arroios,Pena,pt,38.7195793,-9.1389341,False,https://www.idealista.pt/imovel/33405428/,,True,good,False,True,,5069.0,{'typology': 'flat'},"{'subtitle': 'Arroios, Lisboa', 'title': 'Piso en campo dos Mártires da Pátria'}",True,False,False,False,False,False,{'groupDescription': 'Destacado'},,
33406249,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/fb/58/0e/244294932.jpg,,12,3,599000.0,{'price': {'amount': 599000.0}},flat,sale,110.0,2,2,São Sebastião da Pedreira,Lisboa,Avenidas Novas,São Sebastião da Pedreira,pt,38.734893,-9.1478403,False,https://www.idealista.pt/imovel/33406249/,,False,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",5445.0,{'typology': 'flat'},"{'subtitle': 'Avenidas Novas, Lisboa', 'title': 'Piso'}",False,False,False,False,False,False,,,
33282681,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/24/10/0c/238837261.jpg,C0506-00115,25,bj,1700000.0,{'price': {'amount': 1700000.0}},flat,sale,232.0,2,3,"rua Andaluz, 38",Lisboa,Arroios,São Jorge de Arroios,pt,38.7287362,-9.1454855,True,https://www.idealista.pt/imovel/33282681/,"En el corazón de la ciudad y a solo 5 minutos a pie de la Av. da Liberdade, Marqués de Pombal, Parque Eduardo VII y Saldanha, la Rua de Andaluz se encuentra precisamente entre la Av. Fontes Pereira de Melo y la Av. Duque de Loulé. Una de las mejores zonas para vivir en Lisboa. Apartamento de 2 dormitorios con 145,2 m2, terraza/jardín privado, dos plazas de aparcamiento, cocina equipada, aire acondicionado y piscina comunitaria. Con solo seis apartamentos, el condominio ofrece un ambiente exclusivo y tranquilo para los residentes. Sin duda, es una excelente oportunidad para quienes buscan vivir en el centro de Lisboa, con todas las comodidades y confort. Una propiedad fantástica en pleno Lisboa que disfruta de un espacio exterior, piscina y en una zona tranquila, con buenos accesos, servicios, transportes, comercio, restauración, espacios de ocio y culturales garantiza una experiencia completa de vida urbana. Vivir en esta propiedad única proporcionará una experiencia de vida especial.",True,good,False,True,,7328.0,{'typology': 'flat'},"{'subtitle': 'Saldanha - Picoas, Lisboa', 'title': 'Piso en rua Andaluz, 38'}",False,False,False,False,False,False,,Saldanha - Picoas,
33406071,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/29/85/cd/244806609.jpg,119222,28,6,950000.0,{'price': {'amount': 950000.0}},flat,sale,150.0,3,2,Praça de Espanha - Sete Rios,Lisboa,Campolide,Praça de Espanha - Sete Rios,pt,38.7371124,-9.1622315,False,https://www.idealista.pt/imovel/33406071/, ref: 119222.,False,good,False,True,,6333.0,{'typology': 'flat'},"{'subtitle': 'Campolide, Lisboa', 'title': 'Piso'}",True,False,False,False,False,False,,,
33406058,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/3d/7e/9c/244806524.jpg,118362,23,1,360000.0,{'price': {'amount': 360000.0}},flat,sale,99.0,2,2,Estefânia,Lisboa,Arroios,São Jorge de Arroios,pt,38.7326258,-9.1368892,False,https://www.idealista.pt/imovel/33406058/,"Propiedad para inversor. T2+1 con patio, que podría ser transformado en T3+1. Apartamento en el primer piso. Edificio al que se le realizaron obras totales en 2019, tanto exteriores como interiores, incluyendo trabajos de cubierta, fontanería y electricidad. Dispone de dos baños, un dormitorio grande, un dormitorio pequeño y un dormitorio interior. El acceso al dormitorio más grande, al dormitorio interior y al patio se realiza a través de una escalera interior. La cocina queda abierta al salón, donde anteriormente había dos estancias, dando lugar a una estancia de más de 17 metros cuadrados. Dependiendo del objetivo, puedes volver fácilmente al diseño anterior y crear dos habitaciones. En la zona de circulación encontrarás un pequeño recibidor con despensa en la que cabe un armario de dos puertas. Y al lado de las escaleras hay otra pequeña zona de almacenamiento. El apartamento experimentó algunas mejoras en 2020: apertura de la cocina a rincón cocina, sustitución de las ventanas por nuevos modelos con doble acristalamiento y carpintería de PVC oscilo batiente y actualización de los baños. Áreas: Salón - 17,10 m² Cocina - 10,18 m² Dormitorio  1 - 8,94 m² Dormitorio  2 - 15,59 m² Dormitorio interior - 6,24 m² Baño  1 - 3,38 m² Baño  2 - 3,58 m² Terraza - 8,63 m² Ubicado a menos de 1 km del Instituto Superior Técnico y en una zona central de Lisboa, con fácil acceso a otras universidades, este apartamento tiene un buen potencial para alquilar habitaciones de estudiantes. El Certificado Energético es del año 2015. Compartimos 50/50 con todas las agencias con licencia AMI. ref: 118362.",True,good,False,,,3636.0,{'typology': 'flat'},"{'subtitle': 'Estefânia, Lisboa', 'title': 'Piso'}",True,False,True,False,False,False,,Estefânia,
33406055,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/91/ed/18/244806494.jpg,118985,30,3,335000.0,{'price': {'amount': 335000.0}},flat,sale,101.0,4,1,São Vicente de Fora,Lisboa,São Vicente,São Vicente de Fora,pt,38.7186532,-9.1206918,False,https://www.idealista.pt/imovel/33406055/, ref: 118985.,True,renew,False,,,3317.0,{'typology': 'flat'},"{'subtitle': 'São Vicente, Lisboa', 'title': 'Piso'}",True,False,False,False,False,False,,,
33406046,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/dc/5d/89/244806446.jpg,119058,18,3,625000.0,{'price': {'amount': 625000.0}},flat,sale,170.0,3,2,Anjos,Lisboa,Arroios,Anjos,pt,38.720197,-9.1374663,False,https://www.idealista.pt/imovel/33406046/,ref: 119058.,True,good,False,,,3676.0,{'typology': 'flat'},"{'subtitle': 'Arroios, Lisboa', 'title': 'Piso'}",False,False,True,False,False,False,,,
33405873,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/ba/81/e8/244281954.jpg,1208-4275,13,3,300000.0,{'price': {'amount': 300000.0}},studio,sale,29.0,0,1,"rua da Conceição, 121, I",Lisboa,Santa Maria Maior,Baixa,pt,38.7112517,-9.1393829,False,https://www.idealista.pt/imovel/33405873/,,False,good,False,False,,10345.0,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'Santa Maria Maior, Lisboa', 'title': 'T0 en rua da Conceição, 121, i'}",True,False,False,False,False,False,,,
33405868,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/89/cf/89/244281658.jpg,1208-4630,20,1,325000.0,{'price': {'amount': 325000.0}},flat,sale,45.0,1,1,Sete Rios,Lisboa,São Domingos de Benfica,Sete Rios,pt,38.7388894,-9.1630519,False,https://www.idealista.pt/imovel/33405868/,,False,good,False,,,7222.0,{'typology': 'flat'},"{'subtitle': 'São Domingos de Benfica, Lisboa', 'title': 'Piso'}",True,False,False,False,False,False,,,
33405867,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/f1/0b/6d/244281632.jpg,1208-4271,15,3,720000.0,{'price': {'amount': 720000.0}},flat,sale,86.0,2,2,"rua da Conceição, 121, J",Lisboa,Santa Maria Maior,Baixa,pt,38.709212,-9.1391029,False,https://www.idealista.pt/imovel/33405867/,,False,good,False,False,,8372.0,{'typology': 'flat'},"{'subtitle': 'Santa Maria Maior, Lisboa', 'title': 'Piso en rua da Conceição, 121, j'}",True,False,False,False,False,False,,,
33405860,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/5e/8c/23/244281336.jpg,1208-4280,14,4,890000.0,{'price': {'amount': 890000.0}},flat,sale,72.0,1,1,Baixa,Lisboa,Santa Maria Maior,Baixa,pt,38.7091842,-9.1369075,False,https://www.idealista.pt/imovel/33405860/,,False,good,False,,,12361.0,{'typology': 'flat'},"{'subtitle': 'Santa Maria Maior, Lisboa', 'title': 'Piso'}",True,False,False,False,False,False,,,
33405857,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/ef/84/92/244281186.jpg,1208-4279,16,3,705000.0,{'price': {'amount': 705000.0}},flat,sale,78.0,1,1,"rua da Conceição, 121, H",Lisboa,Santa Maria Maior,Baixa,pt,38.7079189,-9.1365653,False,https://www.idealista.pt/imovel/33405857/,"¿Listo para conocer? Situado en la Baixa de Lisboa, más concretamente en la calle que actualmente le confiere el nombre, antiguamente conocida como Rua dos Retroseiros, el proyecto Conceição 123 se une a la ""historia"" de la ciudad no solo por su ubicación premium, sino principalmente por la remodelación de su fachada clásica, que ahora cobra una nueva vida. En la zona histórica de la ciudad, el Conceição 123 es el punto ideal para partir hacia el descubrimiento de Lisboa. Reúne en sus proximidades los más diversos puntos culturales que permiten conocer los orígenes, tradiciones, sus gentes, hábitos y costumbres de la ciudad de Lisboa. En 5, 4, 3 minutos a pie conocerás museos interesantes, monumentos, galerías de arte, librerías, restaurantes y lugares secretos como por ejemplo: - Lisbon Story Center, - Sé de Lisboa - Arco de la Rua Augusta - Plaza del Comercio - Museo Nacional de Arte Contemporáneo - Museo del Dinero - Museo del Diseño y de la Moda - Museo de la Cerveza - Arco de la Rua Augusta - Ruinas del Carmo - Elevador de Santa Justa - Galerías Romanas - Librería Bertrand - Librería Ferin No solo de las calles nace la tradición, también en el interior de nuestras casas y negocios se escriben nuevas historias, se prolongan costumbres y tradiciones y conectamos el pasado con el futuro y el presente. Te contamos más del interior de la Conceição 123, ¿curioso? De carácter singular y exclusivo, este proyecto se distingue por su número limitado de fracciones. Con solo 13 apartamentos, distribuidos en 5 plantas, y dos tiendas en la planta baja, el Conceição 123 se destaca por la preservación de la tradición con un toque de actualidad tanto en su fachada como en el interior de los apartamentos. Conservando el comercio tradicional, la tienda en cuestión mantiene viva la historia de la Rua dos Retroseiros preservando en su interior una de las mercerías más emblemáticas de la ciudad. Tienda con alquiler vigente. ¡Contáctanos para conocer más detalles! Fecha prevista para la finalización de la rehabilitación del edificio: 4º Trimestre de 2024Si lo que pretendes es invertir en el corazón de la tradición, ¡contáctanos! Características: Características Exteriores - Puerta blindada; Planta Alta; Características Interiores - Hall de entrada; Electrodomésticos empotrados; Armarios empotrados; Características Generales - Reformado; Orientación - Naciente; Poniente; Otros Equipamientos - Lavavajillas; Frigorífico; Microondas; Lavadora; Vistas - Vista ciudad; Otras características - Balcón; Cocina Equipada; Ascensor; Aire Acondicionado.",False,good,False,False,,9038.0,{'typology': 'flat'},"{'subtitle': 'Santa Maria Maior, Lisboa', 'title': 'Piso en rua da Conceição, 121, h'}",True,False,False,False,False,False,,,
