propertyCode,thumbnail,externalReference,numPhotos,floor,price,priceInfo,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,topPlus,parkingSpace,description,highlight,neighborhood,newDevelopmentFinished
33381892,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/bc/ef/f9/242896406.jpg,334240026,16,bj,565000.0,{'price': {'amount': 565000.0}},flat,sale,69.0,1,1,largo da Graça,Lisboa,São Vicente,Graça,pt,38.7198979,-9.128747,False,https://www.idealista.pt/imovel/33381892/,False,good,False,False,8188.0,{'typology': 'flat'},"{'subtitle': 'São Vicente, Lisboa', 'title': 'Piso en largo da Graça'}",True,False,False,False,False,False,,,,,
33381921,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/48/3e/cc/242894352.jpg,,14,bj,299900.0,{'price': {'amount': 299900.0}},studio,sale,63.0,0,1,rua do Vale de Santo António,Lisboa,São Vicente,Santa Engrácia,pt,38.7206444,-9.1221586,False,https://www.idealista.pt/imovel/33381921/,True,good,False,False,4760.0,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'São Vicente, Lisboa', 'title': 'T0 en rua do Vale de Santo António'}",False,False,False,False,False,False,,,,,
33381799,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/6d/64/a0/243151629.jpg,,39,8,1400000.0,{'price': {'amount': 1400000.0}},flat,sale,278.0,4,4,rua Dom Jorge da Costa,Lisboa,Belém,Restelo,pt,38.7112174,-9.2095426,False,https://www.idealista.pt/imovel/33381799/,True,good,False,True,5036.0,{'typology': 'flat'},"{'subtitle': 'Belém, Lisboa', 'title': 'Piso en rua Dom Jorge da Costa'}",True,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}","Apartamento de lujo de 4 dormitorios en Sky Restelo, Belém, Lisboa Situado en el exclusivo barrio de Restelo en Belém, Lisboa, este distinguido apartamento de 4 dormitorios ofrece 278 metros cuadrados de lujo y confort. Ubicado en un condominio de prestigio, el Sky Restelo, esta propiedad es ideal para aquellos que buscan una vida de alta calidad en una de las zonas más nobles de la ciudad. Detalles del apartamento: Superficie total: 288 m² Dormitorios: 4, incluyendo 2 suites Baños: 4 completos Salón: Amplio, con acceso directo al balcón Balcón: Espacioso con vistas privilegiadas y exposición solar Armarios empotrados: Maximización del espacio disponible Climatización: Calefacción central y aire acondicionado para el confort durante todo el año Condición: Segunda mano, en excelente estado Garaje: 3 plazas de garaje Comodidades del condominio: Piscina: Situada en la azotea, con vistas panorámicas Sauna: Ambiente relajante y bien cuidado Portero: Servicio 24 horas, garantizando seguridad y comodidad Espacios comunes: Regularmente higienizados y mantenidos Bar: Situado en la terraza, perfecto para socializar Gimnasio: Equipado con una amplia gama de equipos y vestuarios Sala de condominios: Designada para reuniones administrativas Ubicación y accesibilidad: Restelo es conocido por su tranquilidad y exclusividad, con fácil acceso a zonas de ocio y servicios esenciales. Este barrio es ideal para quienes valoran la seguridad, la privacidad y una comunidad de alto nivel. Con sus calles amplias y arboladas, Restelo ofrece un tranquilo retiro del ajetreo de la ciudad, mientras permanece cerca del centro de Lisboa y de puntos turísticos como la Torre de Belém.",,,
33381848,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/f3/e2/a6/242884349.jpg,PF33326,31,1,1700000.0,{'price': {'amount': 1700000.0}},flat,sale,249.0,3,2,travessa Alcaide,Lisboa,Misericórdia,Santa Catarina,pt,38.7107507,-9.1503307,False,https://www.idealista.pt/imovel/33381848/,True,good,False,False,6827.0,{'typology': 'flat'},"{'subtitle': 'Misericórdia, Lisboa', 'title': 'Piso en travessa Alcaide'}",False,True,False,True,False,False,,,,,
33381827,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/70/ea/be/242884275.jpg,C0364-03170,30,1,372000.0,"{'price': {'amount': 372000.0, 'priceDropInfo': {'formerPrice': 399000.0, 'priceDropValue': 27000, 'priceDropPercentage': 7}}}",flat,sale,87.0,3,1,"rua Damasceno Monteiro, 64",Lisboa,São Vicente,Graça,pt,38.7194927,-9.133228,True,https://www.idealista.pt/imovel/33381827/,False,good,False,False,4276.0,{'typology': 'flat'},"{'subtitle': 'São Vicente, Lisboa', 'title': 'Piso en rua Damasceno Monteiro, 64'}",False,False,False,False,False,False,,"Imagina comenzar el día con un desayuno al aire libre, en tu propia terraza, mientras el barrio de São Vicente despierta tranquilamente. Este apartamento de 3 habitaciones, ubicado en el corazón de Graça, ofrece exactamente eso y mucho más. Al entrar en el apartamento, situado en un edificio en el 1er piso, te recibe una atmósfera luminosa y acogedora, cortesía de las ventanas de PVC que garantizan aislamiento térmico y acústico, perfecto para aquellos que valoran su tranquilidad. El apartamento podrá quedarse amueblado, con los muebles existentes en el mismo. Cada habitación es una hoja en blanco, lista para ser llenada con tus recuerdos y momentos especiales. La configuración es ideal para quien necesita espacio flexible, ya sea para una oficina en casa, una habitación extra para visitas o un espacio para tus aficiones. La vida aquí se ve facilitada por la proximidad con una variedad de opciones de comercio y transporte. Imagina tener todo lo que necesitas a un corto paseo, haciendo que tu día a día no solo sea más práctico, sino también más agradable. Este apartamento en Graça no es solo un espacio, es una invitación a una vida nueva y vibrante, al ritmo tranquilo o agitado que elijas. Ven a descubrir cómo es vivir en el punto ideal entre la tranquilidad y el acceso a la vibrante vida urbana.",,,
33381815,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/2a/d6/7c/242883965.jpg,120531414-1021,17,4,1000000.0,{'price': {'amount': 1000000.0}},flat,sale,130.0,4,4,rua dos Correeiros,Lisboa,Santa Maria Maior,Baixa,pt,38.7089001,-9.1367276,False,https://www.idealista.pt/imovel/33381815/,False,good,False,True,7692.0,{'typology': 'flat'},"{'subtitle': 'Santa Maria Maior, Lisboa', 'title': 'Piso en rua dos Correeiros'}",True,False,False,False,False,False,,"Piso de 4 habitaciones | 136 m2 | Reformado | Ascensor | Baixa Lisboa Apartamento de 4 habitaciones en la calle de los Correeiros, en pleno centro de Lisboa. Totalmente nuevo con electrodomésticos, aire acondicionado incluido y con materiales de excelente calidad. Con vistas a la ciudad. Edificio de hormigón, incluidas las fachadas principales (una situación rara en pleno centro de Lisboa), y con ascensor. Zona con todos los transportes, comercios y servicios. ¡Para vivienda propia y permanente o inversión! Ofrecemos la posibilidad, opcional, de rentabilidad garantizada del 5% durante 5 años. ¡Reserve ya su visita!",,,
33381758,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/81/d1/c8/244233075.jpg,2226-3218,27,3,640000.0,{'price': {'amount': 640000.0}},flat,sale,206.0,4,3,"avenida David Mourão-Ferreira, 24",Lisboa,Lumiar,Alto do Lumiar - Quinta das Conchas - Quinta do Lambert,pt,38.7783212,-9.1531094,True,https://www.idealista.pt/imovel/33381758/,False,good,False,,3107.0,{'typology': 'flat'},"{'subtitle': 'Lumiar, Lisboa', 'title': 'Piso en avenida David Mourão-Ferreira, 24'}",True,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,,,
33381772,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/cd/bd/89/242879371.jpg,124771014-88,25,1,1100000.0,{'price': {'amount': 1100000.0}},flat,sale,151.0,3,2,Praça Afonso do Paço,Lisboa,Campo de Ourique,Centro,pt,38.7197192,-9.1647179,False,https://www.idealista.pt/imovel/33381772/,False,good,False,True,7285.0,{'typology': 'flat'},"{'subtitle': 'Campo de Ourique, Lisboa', 'title': 'Piso en Praça Afonso do Paço'}",False,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,,,
33381752,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/e8/b1/f2/242878279.jpg,AL0605,16,2,165000.0,{'price': {'amount': 165000.0}},flat,sale,80.0,2,1,rua Manuel António Gomes,Lisboa,Santa Clara,,pt,38.7860082,-9.1446825,False,https://www.idealista.pt/imovel/33381752/,True,good,False,False,2063.0,{'typology': 'flat'},"{'subtitle': 'Santa Clara, Lisboa', 'title': 'Piso en rua Manuel António Gomes'}",False,False,False,False,False,False,,"Apartamento de 2 dormitorios en venta en la Alta de Lisboa, actual parroquia de Santa Clara, en buen estado de conservación. Consta de dos dormitorios, una cocina americana equipada conectada al salón, un baño completo. Tiene un buen espacio de almacenamiento, incluyendo un armario empotrado y armarios, lo que permite una buena organización del espacio. Su ubicación ofrece accesos privilegiados al aeropuerto de Lisboa, al centro de la ciudad y a otras localidades cercanas a través de las principales autopistas. En los alrededores ofrece una gama de servicios locales y comercios, facilitando el día a día de los residentes. En los alrededores inmediatos, hay jardines, correos, escuelas, farmacias y paradas de autobús, lo que ofrece facilidad y comodidad en la localidad por la ciudad.",,,
33381673,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/89/34/df/242877612.jpg,,27,2,750000.0,{'price': {'amount': 750000.0}},flat,sale,123.0,3,2,avenida Elias Garcia,Lisboa,Avenidas Novas,Campo Pequeno,pt,38.7376967,-9.1459856,False,https://www.idealista.pt/imovel/33381673/,False,good,False,False,6098.0,{'typology': 'flat'},"{'subtitle': 'Avenidas Novas, Lisboa', 'title': 'Piso en avenida Elias Garcia'}",False,False,False,False,False,False,,"Excelente apartamento totalmente remodelado, insertado en edificio de los años 40 con solo 4 inquilinos. Inmueble clásico, con suelo de tabla corrida a la antigua portuguesa, pie derecho alto, techos trabajados, ventanas de balcón, etc... ! El inmueble es un 2º piso sin ascensor, en edificio con encanto a 2 minutos a pie de los jardines de Gulbenkian y a cinco de El Corte Inglés. La fracción fue totalmente remodelada, incluyendo la instalación eléctrica y la red de alcantarillado. Cocina equipada, aire acondicionado, excelente balcón, uno de los dormitorios tiene armario empotrado en la pared. Imotrade, Soc Med Inmobiliaria, lda Ami 9913.",,,
33381711,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/dd/63/c5/242876430.jpg,APA_6537,33,4,4500000.0,{'price': {'amount': 4500000.0}},flat,sale,292.0,5,5,Saldanha - Picoas,Lisboa,Arroios,São Jorge de Arroios,pt,38.7314719,-9.1428417,False,https://www.idealista.pt/imovel/33381711/,False,good,False,True,15411.0,{'typology': 'flat'},"{'subtitle': 'Saldanha - Picoas, Lisboa', 'title': 'Piso'}",True,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,{'groupDescription': 'Destacado'},Saldanha - Picoas,
33381700,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/25/5e/f2/242875821.jpg,APT1180.P.FMC,30,1,850000.0,{'price': {'amount': 850000.0}},flat,sale,99.0,2,2,Lapa,Lisboa,Estrela,Lapa,pt,38.7055094,-9.1586203,False,https://www.idealista.pt/imovel/33381700/,False,good,False,True,8586.0,{'typology': 'flat'},"{'subtitle': 'Estrela, Lisboa', 'title': 'Piso'}",True,False,False,True,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}","Venta | Apartamento 2 habitaciones | 99 m2 | | Garaje | Ventanas Verdes | Estrela - Lapa Listo para entrar. Imágenes ilustrativas Para quien busca lo mejor que Lisboa tiene para ofrecer, en plena Rua das Janelas Verdes, a minutos a pie del río, cerca de la cultura y de los restaurantes y bares más de moda de la capital. Puede contar con un confort y elegancia perfectos, en este condominio privado, compuesto por un edificio moderno y funcional, con un trazo clásico y noble en perfecta armonía con el barrio que lo rodea. Una nueva construcción con 6 plantas, en un total de 22 apartamentos divididos en 3 apartamentos de 1 habitación, 15 apartamentos de 2 habitaciones y 4 apartamentos de 3 habitaciones. Con un jardín, piscina y pequeño gimnasio, comunes. Estacionamiento y trasteros en sótano con buenas áreas. El edificio destaca por el equilibrio entre el carácter y el refinamiento, donde el buen gusto se refleja en la elección de materiales de calidad, como el pavimento flotante tipo roble, cocinas Bosch, paredes de estuco pintado en blanco, mármol tipo blanco Ibiza, armarios y puertas lacadas en blanco, entre otros. UBICACIÓN En la rua das Janelas verdes, en Santos, parroquia de Estrela, a 200 metros del río Tajo, perfecto para paseos en barco, caminatas en familia, o simplemente tomar un café admirando el espejo de agua al final del día. Junto al Museo Nacional de Arte Antiguo, inserto en la malla histórica de la capital, con gran demanda residencial o inversión hotelera. Frente a la Av. 24 de Julho que une la zona del Chiado a Belém - Restelo y fácilmente accesible por una extensa red de medios de transporte que nos lleva al interior de la ciudad, o a la línea de Estoril, Cascais, por la estación de trenes de Cais do Sodré o de Santos. A 15 minutos del aeropuerto. Se encuentra entre dos barrios emblemáticos de Lisboa: Lapa y Santos, ambos en la zona histórica de Lisboa. El Barrio de Lapa es uno de los barrios más exclusivos de la ciudad, con un elevado número de palacios, siendo, por eso, el barrio elegido para residencias diplomáticas y embajadas, convirtiéndose así en el barrio más seguro de Lisboa. El Barrio de Santos conocido por el comercio tradicional, comienza ahora a destacarse, también, por las tiendas de diseño y arquitectura de interiores, galerías y restaurantes modernos, dando una nueva dinámica a los alrededores.",,,
33381585,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/74/9c/17/242870868.jpg,1208-5170,21,,539000.0,{'price': {'amount': 539000.0}},chalet,sale,74.0,3,3,rua 19,Lisboa,Olivais,,pt,38.777283,-9.1210478,False,https://www.idealista.pt/imovel/33381585/,True,renew,False,,7284.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Olivais, Lisboa', 'title': 'Casa independiente en rua 19'}",True,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,{'groupDescription': 'Destacado'},,
33381469,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/c3/16/08/242867412.jpg,PF33299,23,3,480000.0,{'price': {'amount': 480000.0}},flat,sale,105.0,2,2,Centro,Lisboa,Campolide,Centro,pt,38.7276248,-9.1666359,False,https://www.idealista.pt/imovel/33381469/,True,good,False,False,4571.0,{'typology': 'flat'},"{'subtitle': 'Campolide, Lisboa', 'title': 'Piso'}",True,True,False,False,False,False,,,,,
33277791,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/ed/26/23/238622644.jpg,OD1-215795,34,bj,349900.0,"{'price': {'amount': 349900.0, 'priceDropInfo': {'formerPrice': 369900.0, 'priceDropValue': 20000, 'priceDropPercentage': 5}}}",flat,sale,67.0,2,2,Estrada de Benfica,Lisboa,São Domingos de Benfica,Estrada de Benfica,pt,38.7473865,-9.1794089,False,https://www.idealista.pt/imovel/33277791/,False,good,False,False,5222.0,{'typology': 'flat'},"{'subtitle': 'São Domingos de Benfica, Lisboa', 'title': 'Piso'}",True,True,False,False,False,False,,,,,
33381379,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/3f/35/3b/242865966.jpg,,19,bj,213000.0,{'price': {'amount': 213000.0}},flat,sale,64.0,2,1,"rua General Silva Freire, 23 A",Lisboa,Olivais,,pt,38.7738743,-9.1153223,True,https://www.idealista.pt/imovel/33381379/,False,good,False,False,3328.0,{'typology': 'flat'},"{'subtitle': 'Olivais, Lisboa', 'title': 'Piso en rua General Silva Freire, 23 a'}",False,False,False,False,False,False,,,,,
33381426,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/a0/e6/1e/242866086.jpg,A0269.AG.LX,31,1,1990000.0,{'price': {'amount': 1990000.0}},flat,sale,245.0,4,3,Santos-o-Velho - Madragoa,Lisboa,Estrela,Santos-o-Velho - Madragoa,pt,38.7062266,-9.1560463,False,https://www.idealista.pt/imovel/33381426/,False,good,False,,8122.0,{'typology': 'flat'},"{'subtitle': 'Estrela, Lisboa', 'title': 'Piso'}",True,False,False,False,False,False,,,,,
